Key.ctrl_l		1568989587.7540066
'û'		1568989587.8512838
Key.ctrl_l		1568989588.3834224
'è'		1568989588.7134762
Key.backspace		1568989592.839729
Key.down		1568989593.506204
Key.up		1568989593.775274
Key.enter		1568989593.965767
Key.down		1568989594.2078428
Key.down		1568989594.4328558
Key.up		1568989594.8026357
Key.down		1568989595.2017717
Key.down		1568989595.3658128
Key.enter		1568989595.875359
Key.down		1568989596.2276945
Key.enter		1568989596.5052059
Key.backspace		1568989601.9812808
Key.backspace		1568989602.1920373
