Key.alt_l		1568972181.1130414
Key.tab		1568972181.166936
Key.alt_l		1568972184.6541677
Key.tab		1568972184.6984556
'\x01'		1568972185.771073
Key.backspace		1568972186.7677453
'\x13'		1568972187.0025663
'\x04'		1568972187.087448
'\x01'		1568972187.2076504
'\x13'		1568972187.2881298
'\x04'		1568972187.3575883
Key.backspace		1568972187.5200682
Key.backspace		1568972187.6647713
Key.backspace		1568972187.7908194
Key.backspace		1568972187.911194
Key.backspace		1568972188.1220982
Key.alt_l		1568972188.2941587
Key.tab		1568972188.3192155
Key.enter		1568972198.2914832
Key.alt_l		1568972202.3872583
Key.tab		1568972202.4436243
Key.ctrl_l		1568972204.23941
Key.alt_l		1568972205.2033193
Key.tab		1568972205.2479947
Key.tab		1568972205.7675726
'\x07'		1568972215.909765
'\x0f'		1568972216.0416882
Key.enter		1568972216.657049
'\x10'		1568972219.0182514
'\x19'		1568972219.3263237
'\x14'		1568972219.4771018
'\x08'		1568972219.7220407
'\x0f'		1568972219.8363461
'\x0e'		1568972220.0720534
Key.space		1568972220.2427905
'\x08'		1568972220.8240297
'\x0f'		1568972220.9493911
'\x17'		1568972221.2153122
Key.space		1568972221.314808
'\x14'		1568972221.4906034
'\x0f'		1568972221.5885992
Key.space		1568972222.0042934
'\x14'		1568972222.4361556
'\x15'		1568972222.7505538
'\x12'		1568972223.0300841
'\x0e'		1568972223.2085032
Key.space		1568972223.424036
'\x0f'		1568972224.016438
'\x06'		1568972224.2464547
Key.space		1568972224.355657
'\x14'		1568972224.5168297
'\x08'		1568972224.7077188
Key.down		1568972225.6488018
Key.enter		1568972225.7878911
Key.cmd		1568972262.0929663
'\x0c'		1568972262.365979
Key.alt_l		1568973690.3395464
Key.tab		1568973690.389632
Key.tab		1568973690.9374492
Key.alt_l		1568973693.933511
Key.tab		1568973693.9886367
Key.tab		1568973694.3100834
Key.tab		1568973694.5088713
Key.alt_l		1568973694.680669
Key.tab		1568973694.7889166
Key.alt_l		1568973695.4134433
Key.tab		1568973695.4528122
Key.tab		1568973695.6496544
Key.enter		1568973696.6786788
Key.f5		1568973698.473403
Key.f5		1568973698.8632007
Key.f5		1568973699.1083248
Key.f5		1568973699.3107972
Key.f5		1568973699.4708385
Key.alt_l		1568973709.0394707
Key.tab		1568973709.3642387
'e'		1568973733.5698867
'x'		1568973733.824929
'e'		1568973734.0456066
Key.alt_l		1568973734.5049922
Key.shift		1568973734.515399
Key.backspace		1568973734.7559836
Key.backspace		1568973734.9103699
Key.backspace		1568973735.0594387
'e'		1568973735.4256992
'x'		1568973735.6706176
'e'		1568973735.88655
Key.enter		1568973736.4953892
Key.space		1568973757.1854193
Key.right		1568973783.472113
Key.right		1568973783.6517467
Key.right		1568973783.8352604
Key.right		1568973784.1506257
Key.cmd		1568973789.7198255
'r'		1568973789.8921614
Key.enter		1568973790.517365
'p'		1568973791.2189043
'i'		1568973791.2939851
'p'		1568973791.415185
Key.space		1568973791.8458643
'i'		1568973792.2717292
'n'		1568973792.4715922
's'		1568973792.6043565
'a'		1568973792.8048458
't'		1568973792.9067202
Key.backspace		1568973793.1509707
Key.backspace		1568973793.3617697
't'		1568973793.537357
'a'		1568973793.632453
'\x0c'		1568973793.7268558
'l'		1568973793.898646
Key.alt_l		1568973794.1371498
Key.tab		1568973794.171969
Key.alt_l		1568973794.2013853
Key.right		1568973813.2567203
Key.right		1568973813.4632332
Key.right		1568973813.6735506
Key.right		1568973814.0955064
Key.right		1568973814.3043096
Key.right		1568973814.4845996
Key.right		1568973814.645505
Key.right		1568973814.9077473
Key.right		1568973815.3739183
Key.right		1568973815.6111717
Key.alt_l		1568973820.0265017
Key.tab		1568973820.113827
Key.space		1568973821.2519681
'p'		1568973821.4224222
'y'		1568973821.8679025
'i'		1568973822.144089
'n'		1568973822.3652763
's'		1568973822.481573
't'		1568973822.6720977
'a'		1568973822.8065479
'l'		1568973822.9182534
'l'		1568973823.0781415
'e'		1568973823.171121
'r'		1568973823.2865443
Key.alt_l		1568973823.647295
Key.tab		1568973823.692262
Key.alt_l		1568973824.3615274
Key.tab		1568973824.4424894
Key.enter		1568973824.8267374
Key.alt_l		1568973826.1313531
Key.tab		1568973826.1713748
Key.alt_l		1568973829.5375855
Key.tab		1568973829.575562
Key.alt_l		1568973830.1854117
Key.tab		1568973830.3684356
Key.alt_l		1568973830.8543684
Key.tab		1568973830.9938116
Key.alt_l		1568973831.4926825
